iter	Passed	Remaining
797	3371	853
798	3376	849
799	3380	845
800	3384	840
801	3389	836
802	3393	832
803	3397	828
804	3401	823
805	3405	819
806	3409	815
807	3412	810
808	3417	806
809	3422	802
810	3426	798
811	3431	794
812	3435	790
813	3439	785
814	3443	781
815	3447	777
816	3452	773
817	3456	769
818	3460	764
819	3464	760
820	3469	756
821	3473	752
822	3477	747
823	3481	743
824	3486	739
825	3490	735
826	3494	731
827	3498	726
828	3502	722
829	3507	718
830	3512	714
831	3517	710
832	3521	705
833	3525	701
834	3529	697
835	3533	693
836	3537	688
837	3542	684
838	3547	680
839	3551	676
840	3556	672
841	3561	668
842	3565	664
843	3570	659
844	3574	655
845	3579	651
846	3584	647
847	3588	643
848	3594	639
849	3599	635
850	3603	630
851	3608	626
852	3612	622
853	3617	618
854	3622	614
855	3627	610
856	3631	605
857	3635	601
858	3639	597
859	3644	593
860	3650	589
861	3655	585
862	3659	580
863	3665	576
864	3669	572
865	3673	568
866	3677	564
867	3682	560
868	3686	555
869	3690	551
870	3694	547
871	3698	542
872	3702	538
873	3706	534
874	3710	530
875	3714	525
876	3718	521
877	3722	517
878	3726	513
879	3731	508
880	3736	504
881	3740	500
882	3744	496
883	3748	491
884	3753	487
885	3758	483
886	3762	479
887	3766	475
888	3771	470
889	3775	466
890	3780	462
891	3785	458
892	3789	454
893	3793	449
894	3797	445
895	3802	441
896	3807	437
897	3812	433
898	3816	428
899	3820	424
900	3825	420
901	3829	416
902	3834	411
903	3837	407
904	3841	403
905	3845	398
906	3849	394
907	3853	390
908	3857	386
909	3861	381
910	3866	377
911	3870	373
912	3873	369
913	3878	364
914	3882	360
915	3886	356
916	3890	352
917	3894	347
918	3899	343
919	3903	339
920	3908	335
921	3912	330
922	3916	326
923	3920	322
924	3924	318
925	3929	313
926	3933	309
927	3938	305
928	3942	301
929	3946	297
930	3950	292
931	3955	288
932	3959	284
933	3963	280
934	3968	275
935	3973	271
936	3977	267
937	3981	263
938	3985	258
939	3989	254
940	3994	250
941	3998	246
942	4003	241
943	4007	237
944	4011	233
945	4015	229
946	4019	224
947	4023	220
948	4027	216
949	4031	212
950	4036	207
951	4041	203
952	4045	199
953	4049	195
954	4053	191
955	4058	186
956	4062	182
957	4066	178
958	4071	174
959	4076	169
960	4080	165
961	4084	161
962	4088	157
963	4092	152
964	4096	148
965	4100	144
966	4104	140
967	4108	135
968	4111	131
969	4115	127
970	4119	123
971	4124	118
972	4128	114
973	4132	110
974	4136	106
975	4139	101
976	4143	97
977	4147	93
978	4151	89
979	4155	84
980	4159	80
981	4163	76
982	4167	72
983	4171	67
984	4175	63
985	4179	59
986	4184	55
987	4188	50
988	4192	46
989	4195	42
990	4199	38
991	4203	33
992	4207	29
993	4212	25
994	4216	21
995	4219	16
996	4223	12
997	4228	8
998	4233	4
999	4237	0
